amendment,filename,compound_name,polarity,area
Amm,210916_Smp_Amm-Surf-Eve-T10-A-noIS-neg.mzML,"Taurine, 2H4",neg,138727.07820267617
Amm,210916_Smp_Amm-Surf-Eve-T10-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,35209.2588704566
Amm,210916_Smp_Amm-Surf-Eve-T10-A-noIS-pos.mzML,"Taurine, 2H4",pos,41174.8224345544
Amm,210916_Smp_Amm-Surf-Eve-T10-B-noIS-neg.mzML,"Taurine, 2H4",neg,167951.3325410657
Amm,210916_Smp_Amm-Surf-Eve-T10-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,46337.50562298378
Amm,210916_Smp_Amm-Surf-Eve-T10-B-noIS-pos.mzML,"Taurine, 2H4",pos,61906.63596993185
Amm,210916_Smp_Amm-Surf-Eve-T10-C-noIS-neg.mzML,"Taurine, 2H4",neg,238490.4781304766
Amm,210916_Smp_Amm-Surf-Eve-T10-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,53478.82032005352
Amm,210916_Smp_Amm-Surf-Eve-T10-C-noIS-pos.mzML,"Taurine, 2H4",pos,89296.59045267629
Amm,210916_Smp_Amm-Surf-Eve-T26-A-noIS-neg.mzML,"Taurine, 2H4",neg,151210.44723740304
Amm,210916_Smp_Amm-Surf-Eve-T26-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,45241.24114586019
Amm,210916_Smp_Amm-Surf-Eve-T26-A-noIS-pos.mzML,"Taurine, 2H4",pos,59865.18257876055
Amm,210916_Smp_Amm-Surf-Eve-T26-B-noIS-neg.mzML,"Taurine, 2H4",neg,149762.83465660573
Amm,210916_Smp_Amm-Surf-Eve-T26-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,40912.94021399255
Amm,210916_Smp_Amm-Surf-Eve-T26-B-noIS-pos.mzML,"Taurine, 2H4",pos,54878.68541593885
Amm,210916_Smp_Amm-Surf-Eve-T26-C-noIS-neg.mzML,"Taurine, 2H4",neg,144233.68211175696
Amm,210916_Smp_Amm-Surf-Eve-T26-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,38773.19371730255
Amm,210916_Smp_Amm-Surf-Eve-T26-C-noIS-pos.mzML,"Taurine, 2H4",pos,45505.20841475421
Amm,210916_Smp_Amm-Surf-Eve-T3-A-noIS-neg.mzML,"Taurine, 2H4",neg,225301.157158878
Amm,210916_Smp_Amm-Surf-Eve-T3-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,42676.391203254396
Amm,210916_Smp_Amm-Surf-Eve-T3-A-noIS-pos.mzML,"Taurine, 2H4",pos,66648.43087751466
Amm,210916_Smp_Amm-Surf-Eve-T3-B-noIS-neg.mzML,"Taurine, 2H4",neg,188930.26215168778
Amm,210916_Smp_Amm-Surf-Eve-T3-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,37647.71508483504
Amm,210916_Smp_Amm-Surf-Eve-T3-B-noIS-pos.mzML,"Taurine, 2H4",pos,59552.90574007045
Amm,210916_Smp_Amm-Surf-Eve-T3-C-noIS-neg.mzML,"Taurine, 2H4",neg,192163.68745975953
Amm,210916_Smp_Amm-Surf-Eve-T3-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,52491.61998993827
Amm,210916_Smp_Amm-Surf-Eve-T3-C-noIS-pos.mzML,"Taurine, 2H4",pos,70229.090514196
Amm,210916_Smp_Amm-Surf-Morn-T0-A-noIS-neg.mzML,"Taurine, 2H4",neg,220287.56067876742
Amm,210916_Smp_Amm-Surf-Morn-T0-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,56774.22096163497
Amm,210916_Smp_Amm-Surf-Morn-T0-A-noIS-pos.mzML,"Taurine, 2H4",pos,82210.93006366937
Amm,210916_Smp_Amm-Surf-Morn-T0-B-noIS-neg.mzML,"Taurine, 2H4",neg,173071.92705599626
Amm,210916_Smp_Amm-Surf-Morn-T0-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,49891.66435199304
Amm,210916_Smp_Amm-Surf-Morn-T0-B-noIS-pos.mzML,"Taurine, 2H4",pos,61953.990497555504
Amm,210916_Smp_Amm-Surf-Morn-T0-C-noIS-neg.mzML,"Taurine, 2H4",neg,165737.6384900886
Amm,210916_Smp_Amm-Surf-Morn-T0-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,39491.923263715034
Amm,210916_Smp_Amm-Surf-Morn-T0-C-noIS-pos.mzML,"Taurine, 2H4",pos,55687.71209402854
Amm,210916_Smp_Amm-Surf-Morn-T1-A-noIS-neg.mzML,"Taurine, 2H4",neg,118423.03091235456
Amm,210916_Smp_Amm-Surf-Morn-T1-A-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,38318.99083079155
Amm,210916_Smp_Amm-Surf-Morn-T1-A-noIS-pos.mzML,"Taurine, 2H4",pos,35586.76344406017
Amm,210916_Smp_Amm-Surf-Morn-T1-B-noIS-neg.mzML,"Taurine, 2H4",neg,149020.75224593317
Amm,210916_Smp_Amm-Surf-Morn-T1-B-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,44918.131134328745
Amm,210916_Smp_Amm-Surf-Morn-T1-B-noIS-pos.mzML,"Taurine, 2H4",pos,41480.95370920429
Amm,210916_Smp_Amm-Surf-Morn-T1-C-noIS-neg.mzML,"Taurine, 2H4",neg,161648.81728897922
Amm,210916_Smp_Amm-Surf-Morn-T1-C-noIS-pos.mzML,"L-Phenylalanine, 2H8",pos,39468.41489234372
