filepath,filename,shortname,IS_type,polarity,amendment,depth,startime,timepoint,tripl,cast,station
mzMLs/neg/210813_Smp_Nit-Deep-Morn-T3-C-wIS.mzML,210813_Smp_Nit-Deep-Morn-T3-C-wIS.mzML,Nit-Deep-Morn-T3-C.mzML,wIS,neg,Nit,Deep,Morn,T3,C,9,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T0-A-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T0-A-noIS-neg.mzML,Nit-Surf-Eve-T0-A.mzML,noIS,neg,Nit,Surf,Eve,T0,A,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T0-A-wIS.mzML,210813_Smp_Nit-Surf-Eve-T0-A-wIS.mzML,Nit-Surf-Eve-T0-A.mzML,wIS,neg,Nit,Surf,Eve,T0,A,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T0-B-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T0-B-noIS-neg.mzML,Nit-Surf-Eve-T0-B.mzML,noIS,neg,Nit,Surf,Eve,T0,B,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T0-B-wIS.mzML,210813_Smp_Nit-Surf-Eve-T0-B-wIS.mzML,Nit-Surf-Eve-T0-B.mzML,wIS,neg,Nit,Surf,Eve,T0,B,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T0-C-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T0-C-noIS-neg.mzML,Nit-Surf-Eve-T0-C.mzML,noIS,neg,Nit,Surf,Eve,T0,C,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T0-C-wIS.mzML,210813_Smp_Nit-Surf-Eve-T0-C-wIS.mzML,Nit-Surf-Eve-T0-C.mzML,wIS,neg,Nit,Surf,Eve,T0,C,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T1-A-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T1-A-noIS-neg.mzML,Nit-Surf-Eve-T1-A.mzML,noIS,neg,Nit,Surf,Eve,T1,A,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T1-A-wIS.mzML,210813_Smp_Nit-Surf-Eve-T1-A-wIS.mzML,Nit-Surf-Eve-T1-A.mzML,wIS,neg,Nit,Surf,Eve,T1,A,5,2
mzMLs/neg/210813_Smp_Nit-Surf-Eve-T1-B-noIS-neg.mzML,210813_Smp_Nit-Surf-Eve-T1-B-noIS-neg.mzML,Nit-Surf-Eve-T1-B.mzML,noIS,neg,Nit,Surf,Eve,T1,B,5,2
