filepath,filename,shortname,samp_type,IS_type,polarity,amendment,depth,startime,timepoint,tripl,cast,station
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T1-B-wIS.mzML,210813_Smp_Nit-Deep-Morn-T1-B-wIS.mzML,Nit-Deep-Morn-T1-B.mzML,Smp,wIS,pos,Nit,Deep,Morn,T1,B,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T1-C-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T1-C-noIS-pos.mzML,Nit-Deep-Morn-T1-C.mzML,Smp,noIS,pos,Nit,Deep,Morn,T1,C,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T1-C-wIS.mzML,210813_Smp_Nit-Deep-Morn-T1-C-wIS.mzML,Nit-Deep-Morn-T1-C.mzML,Smp,wIS,pos,Nit,Deep,Morn,T1,C,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T10-A-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T10-A-noIS-pos.mzML,Nit-Deep-Morn-T10-A.mzML,Smp,noIS,pos,Nit,Deep,Morn,T10,A,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T10-A-wIS.mzML,210813_Smp_Nit-Deep-Morn-T10-A-wIS.mzML,Nit-Deep-Morn-T10-A.mzML,Smp,wIS,pos,Nit,Deep,Morn,T10,A,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T10-B-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T10-B-noIS-pos.mzML,Nit-Deep-Morn-T10-B.mzML,Smp,noIS,pos,Nit,Deep,Morn,T10,B,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T10-B-wIS.mzML,210813_Smp_Nit-Deep-Morn-T10-B-wIS.mzML,Nit-Deep-Morn-T10-B.mzML,Smp,wIS,pos,Nit,Deep,Morn,T10,B,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T10-C-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T10-C-noIS-pos.mzML,Nit-Deep-Morn-T10-C.mzML,Smp,noIS,pos,Nit,Deep,Morn,T10,C,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T10-C-wIS.mzML,210813_Smp_Nit-Deep-Morn-T10-C-wIS.mzML,Nit-Deep-Morn-T10-C.mzML,Smp,wIS,pos,Nit,Deep,Morn,T10,C,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T26-A-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T26-A-noIS-pos.mzML,Nit-Deep-Morn-T26-A.mzML,Smp,noIS,pos,Nit,Deep,Morn,T26,A,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T26-A-wIS.mzML,210813_Smp_Nit-Deep-Morn-T26-A-wIS.mzML,Nit-Deep-Morn-T26-A.mzML,Smp,wIS,pos,Nit,Deep,Morn,T26,A,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T26-B-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T26-B-noIS-pos.mzML,Nit-Deep-Morn-T26-B.mzML,Smp,noIS,pos,Nit,Deep,Morn,T26,B,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T26-B-wIS.mzML,210813_Smp_Nit-Deep-Morn-T26-B-wIS.mzML,Nit-Deep-Morn-T26-B.mzML,Smp,wIS,pos,Nit,Deep,Morn,T26,B,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T26-C-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T26-C-noIS-pos.mzML,Nit-Deep-Morn-T26-C.mzML,Smp,noIS,pos,Nit,Deep,Morn,T26,C,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T26-C-wIS.mzML,210813_Smp_Nit-Deep-Morn-T26-C-wIS.mzML,Nit-Deep-Morn-T26-C.mzML,Smp,wIS,pos,Nit,Deep,Morn,T26,C,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T3-A-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T3-A-noIS-pos.mzML,Nit-Deep-Morn-T3-A.mzML,Smp,noIS,pos,Nit,Deep,Morn,T3,A,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T3-A-wIS.mzML,210813_Smp_Nit-Deep-Morn-T3-A-wIS.mzML,Nit-Deep-Morn-T3-A.mzML,Smp,wIS,pos,Nit,Deep,Morn,T3,A,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T3-B-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T3-B-noIS-pos.mzML,Nit-Deep-Morn-T3-B.mzML,Smp,noIS,pos,Nit,Deep,Morn,T3,B,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T3-B-wIS.mzML,210813_Smp_Nit-Deep-Morn-T3-B-wIS.mzML,Nit-Deep-Morn-T3-B.mzML,Smp,wIS,pos,Nit,Deep,Morn,T3,B,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T3-C-noIS-pos.mzML,210813_Smp_Nit-Deep-Morn-T3-C-noIS-pos.mzML,Nit-Deep-Morn-T3-C.mzML,Smp,noIS,pos,Nit,Deep,Morn,T3,C,9,2
mzMLs/pos/210813_Smp_Nit-Deep-Morn-T3-C-wIS.mzML,210813_Smp_Nit-Deep-Morn-T3-C-wIS.mzML,Nit-Deep-Morn-T3-C.mzML,Smp,wIS,pos,Nit,Deep,Morn,T3,C,9,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T0-A-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T0-A-noIS-pos.mzML,Nit-Surf-Eve-T0-A.mzML,Smp,noIS,pos,Nit,Surf,Eve,T0,A,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T0-A-wIS.mzML,210813_Smp_Nit-Surf-Eve-T0-A-wIS.mzML,Nit-Surf-Eve-T0-A.mzML,Smp,wIS,pos,Nit,Surf,Eve,T0,A,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T0-B-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T0-B-noIS-pos.mzML,Nit-Surf-Eve-T0-B.mzML,Smp,noIS,pos,Nit,Surf,Eve,T0,B,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T0-B-wIS.mzML,210813_Smp_Nit-Surf-Eve-T0-B-wIS.mzML,Nit-Surf-Eve-T0-B.mzML,Smp,wIS,pos,Nit,Surf,Eve,T0,B,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T0-C-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T0-C-noIS-pos.mzML,Nit-Surf-Eve-T0-C.mzML,Smp,noIS,pos,Nit,Surf,Eve,T0,C,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T0-C-wIS.mzML,210813_Smp_Nit-Surf-Eve-T0-C-wIS.mzML,Nit-Surf-Eve-T0-C.mzML,Smp,wIS,pos,Nit,Surf,Eve,T0,C,5,2
mzMLs/pos/210813_Smp_Nit-Surf-Eve-T1-A-noIS-pos.mzML,210813_Smp_Nit-Surf-Eve-T1-A-noIS-pos.mzML,Nit-Surf-Eve-T1-A.mzML,Smp,noIS,pos,Nit,Surf,Eve,T1,A,5,2
